label,balanced_sms
spam,urgent important information o2 user today lucky day 2 find log onto httpwwwurawinnercom fantastic surprise awaiting
spam,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt orange contract call mobileupd8 08000839402 call 2optout
spam,want new video handset 750 time network mins unlimited text camcorder reply call 08000930705 del sat
spam,hi ur lookin 4 saucy daytime fun wiv busty married woman free next week chat 2 sort time 09099726429 janinexx calls1minmobsmorelkpobox177hp51fl
spam,09066362231 urgent mobile 07xxxxxxxxx 2000 bonus caller prize 020603 2nd attempt reach call 09066362231 asap
ham,im going buy mums present ar
ham,thk 530 lor dunno get tickets wat u
ham,lol would mom would fit tell whole family crazy terrible
ham,sad puppy noise
ham,anyways go gym whatever love smiles hope ok good day babe miss much already
spam,u secret admirer looking 2 make contact ufind rreveal thinks ur specialcall 09058094594
ham,wat makes people dearer de happiness dat u feel u meet de pain u feel u miss dem
spam,freemessage jamsterget crazy frog sound poly text mad1 real text mad2 88888 6 crazy sounds 3 gbpweek 16only tcs apply
spam,private 2003 account statement shows 800 unredeemed points call 08718738002 identifier code 48922 expires 211104
ham,pleased inform application airtel broadband processed successfully installation happen within 3 days
ham,means february april ill getting place stay dont hustle back forth audition season since sister moved away harlem
spam,urgent mobile number awarded 2000 prize guaranteed call 09058094455 land line claim 3030 valid 12hrs
ham,guys go see movies side
spam,want new video phone750 anytime network mins 150 text five pounds per week call 08000776320 reply delivery tomorrow
ham,dont want hear philosophy say happen
ham,cheers callin babesozi culdnt talkbut wannatell u details later wenwecan chat properly x
spam,urgent trying contact last weekends draw shows 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs
ham,yes posted couple pics fb theres still snow outside im waking
ham,gorgeous keep pix cumming thank
ham,ok chinese food way get fat youre paying lipo
spam,valued customer pleased advise following recent review mob awarded 1500 bonus prize call 09066364589
spam,sms auction brand new nokia 7250 4 auction today auction free 2 join take part txt nokia 86021
spam,u r subscribed 2 textcomp 250 wkly comp 1st wks free question follows subsequent wks charged150pmsg2 unsubscribe txt stop 2 84128custcare 08712405020
spam,six chances win cash 100 20000 pounds txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info
ham,see christmassy
ham,cant pick phone right pls send message
ham,tall princess
spam,valentines day special win 1000 quiz take partner trip lifetime send go 83600 150pmsg rcvd custcare08718720201
spam,someone conacted dating service entered phone fancy youto find call landline 09111030116 pobox12n146tf15
spam,free 1st week no1 nokia tone 4 ur mob every week txt nokia 8007 get txting tell ur mates wwwgetzedcouk pobox 36504 w45wq norm150ptone 16
spam,urgent 1 week free membership 100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
ham,idk keep saying youre since moved keep butting heads freedom vs responsibility im tired much shit deal im barely keeping together gets added
spam,get garden ready summer free selection summer bulbs seeds worth 3350 scotsman saturday stop go2 notxtcouk
ham,send print outs da
ham,two teams waiting players
ham,went ganesh dress shop
spam,youll rcv msgs chat svc free hardcore services text go 69988 u get nothing u must age verify yr network try
spam,reminder downloaded content already paid goto httpdoit mymoby tv collect content
spam,sorry missed call lets talk time im 07090201529
spam,bears pic nick tom pete dick fact types try gay chat photo upload call 08718730666 10pmin 2 stop texts call 08712460324
ham,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay gud mrng
spam,hi im sue 20 years old work lapdancer love sex text live im bedroom text sue 89555 textoperator g2 1da 150ppmsg 18
spam,sms services inclusive text credits pls goto wwwcomuknet login unsubscribe stop extra charge help08700469649 po box420 ip4 5we
ham,march ending ready call sure problem capital never complete far hows work ladies
spam,want new video phone 600 anytime network mins 400 inclusive video calls downloads 5 per week free deltomorrow call 08002888812 reply
ham,one week leave put know time
spam,congrats 2 mobile 3g videophones r call 09063458130 videochat wid ur mates play java games dload polyph music noline rentl bx420 ip4 5we 150p
ham,registered sinco payee log icicibankcom enter urn ltgt confirm beware frauds share disclose urn anyone
ham,ok im coming home
spam,2p per min call germany 08448350055 bt line 2p per min check planettalkinstantcom info ts cs text stop opt
ham,hear loud scream ltgt minutes cause gyno shoving things dont belong
ham,training tomorrow
spam,want explicit sex 30 secs ring 02073162414 costs 20pmin
ham,mostly like
ham,many days since
ham,nothing
spam,sparkling shopping breaks 45 per person call 0121 2025050 visit wwwshortbreaksorguk
spam,wanna get laid 2nite want real dogging locations sent direct ur mobile join uks largest dogging network txt park 69696 nyt ec2a 3lp 150msg
ham,seeing
spam,well done england get official poly ringtone colour flag yer mobile text tone flag 84199 optout txt eng stop box39822 w111wx 150
spam,call germany 1 pence per minute call fixed line via access number 0844 861 85 85 prepayment direct access wwwtelediscountcouk
spam,sorry u unsubscribe yet mob offer package min term 54 weeks pls resubmit request expiry reply themob help 4 info
ham,open door
ham,remain unconvinced isnt elaborate test willpower
spam,tried contact reply offer video handset 750 anytime networks mins unlimited text camcorder reply call 08000930705
ham,yup giving problems mayb ill jus leave
spam,get brand new mobile phone agent mob plus loads goodies info text mat 87021
spam,monthly password wap mobsicom 391784 use wap phone pc
ham,u today
spam,freemsg hey im buffy 25 love satisfy men home alone feeling randy reply 2 c pix qlynnbv help08700621170150p msg send stop stop txts
ham,doinghow
ham,fuck cedar key fuck come anyway tho
ham,ssi thinl role like sachinjust standing others hit
ham,peteis phone still jenny college leannewhat
ham,place get rooms cheap
spam,yes place town meet exciting adult singles uk txt chat 86688 150pmsg
ham,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wont go badly cheers
ham,bbq sat mine 6ish ur welcome 2 come
spam,u r winner u ave specially selected 2 receive 1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810710pmin 18
ham,login dat time dad fetching home
ham,guys leaving
spam,ur balance 500 ur next question sang uptown girl 80s 2 answer txt ur answer 83600 good luck
spam,link picture sent also use httpalto18coukwavewaveaspo44345
ham,dun cut short leh u dun like ah failed shes quite sad
spam,promotion number 8714714 ur awarded city break could win 200 summer shopping spree every wk txt store 88039 skilgme tscs087147403231winawkage16 150perwksub
spam,guaranteed 1000 cash 2000 prizeto claim yr prize call customer service representative
spam,congratulations ur awarded 500 cd vouchers 125gift guaranteed free entry 2 100 wkly draw txt music 87066
ham,vikky come around lttimegt
spam,gent trying contact last weekends draw shows 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm
ham,yup wun believe wat u really neva c e msg sent shuhui
spam,urgent 1 week free membership 100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
ham,way transport less problematic sat night way u want ask n join bday feel free need know definite nos booking fri
ham,dont know oh hopefully month
spam,eastenders tv quiz flower dot compare violet e tulip f lily txt e f 84025 4 chance 2 win 100 cash wkent150p16
spam,congrats 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss
ham,cant pick phone right pls send message
ham,make cry stuff happens top everything else pushes edge dont underdtand often cry sorry sorry life
spam,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
spam,22 days kick euro2004 u kept date latest news results daily removed send get txt stop 83222
spam,urgent call 09066350750 landline complimentary 4 ibiza holiday 10000 cash await collection sae tcs po box 434 sk3 8wp 150 ppm 18
ham,trying weekend v
ham,get ready ltgt inches pleasure
ham,dont think get away trek long family town sorry
ham,parents kidz friends n colleagues screaming surprise waiting sofa naked
ham,checking really miss seeing jeremiah great month
ham,oh ok didnt know meant yep baby jontin
spam,free top ringtone sub weekly ringtoneget 1st week freesend subpoly 816183 per weekstop sms08718727870
spam,mobile number 5000 claim calls us back ring claims hot line 09050005321
spam,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml
ham,sorry ill call later
spam,married local women looking discreet action 5 real matches instantly phone text match 69969 msg cost 150p 2 stop txt stop bcmsfwc1n3xx
spam,knock knock txt whose 80082 enter r weekly draw 4 250 gift voucher 4 store yr choice tcs wwwtklscom age16 stoptxtstop150week
spam,santa calling would little ones like call santa xmas eve call 09058094583 book time
ham,oh lk tt den take e one tt ends cine lor dun wan yogasana oso
spam,sms services inclusive text credits pls gotto wwwcomuknet login 3qxj9 unsubscribe stop extra charge help 08702840625 comuk220cm2 9ae
spam,goal arsenal 4 henry 7 v liverpool 2 henry scores simple shot 6 yards pass bergkamp give arsenal 2 goal margin 78 mins
ham,still around looking pick later
spam,contacted dating service someone know find call mobile landline 09064017305 pobox75ldns7
spam,ree entry 2 weekly comp chance win ipod txt pod 80182 get entry std txt rate tcs apply 08452810073 details 18
ham,happy birthday may ur dreams come true
ham,dun need pick ur gf
